Name,Classifier 1,Classifier 2,Pantry1,Pantry2,Fridge1,Fridge2,Freezer1,Freezer2,xx,xx,Purchase Date,Opened Date,Days until expire (Unopened),Days until expire (RT),Days until expiry (Fridge),Day until expire (Frozen)
ALFALFA SPROUTS ," FRESH, RAW",,,,2d,3d,,,,,,,,,,
ARTICHOKES ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
ARTICHOKES ," FRESH, RAW",,,,5d,7d,10m,12m,,,,,,,,
ARUGULA (ROCKET) ," FRESH, RAW",,,,2d,3d,,,,,,,,,,
ASPARAGUS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
ASPARAGUS ," FRESH, RAW",,,,3d,4d,12m,18m,,,,,,,,
BABY CARROTS ," FRESH, RAW",,,,2w,3w,12m,18m,,,,,,,,
BAMBOO SHOOTS ," FRESH, RAW",,,,5d,7d,,,,,,,,,,
BANANA PEPPERS ," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
BANANA PEPPERS ," FRESH, RAW, WHOLE",,,,1w,,10m,12m,,,,,,,,
"BEANS, SNAP, STRING OR WAX (GREEN OR YELLOW) "," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BEET GREENS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BEET GREENS ," FRESH, RAW",,,,3d,5d,10m,12m,,,,,,,,
BEETS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BEETS ," FRESH, RAW",,,,2w,,10m,12m,,,,,,,,
"BELL PEPPERS / SWEET PEPPERS (INCLUDING GREEN, RED, YELLOW, ORANGE ) "," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
"BELL PEPPERS / SWEET PEPPERS (INCLUDING GREEN, RED, YELLOW, ORANGE ) "," FRESH, RAW, WHOLE",,,,1w,2w,10m,12m,,,,,,,,
BITTER MELON ," FRESH, COOKED",,,,3d,5d,,,,,,,,,,
BITTER MELON ," FRESH, RAW",,,,4d,5d,,,,,,,,,,
BOK CHOY ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BOK CHOY ," FRESH, RAW",,,,3d,4d,10m,12m,,,,,,,,
BROAD BEANS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BROAD BEANS ," FRESH, RAW",,,,2d,3d,10m,12m,,,,,,,,
BROCCOLI ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BROCCOLI ," FRESH, RAW",,,,3d,5d,12m,18m,,,,,,,,
BROCCOLI RAAB / RAPINI ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BROCCOLI RABE / RAPINI ," FRESH, RAW",,,,3d,5d,10m,12m,,,,,,,,
BRUSSELS SPROUTS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BRUSSELS SPROUTS ," FRESH, RAW",,,,3d,5d,10m,12m,,,,,,,,
CABBAGE ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CABBAGE ," FRESH, RAW",,,,1m,2m,12m,18m,,,,,,,,
CARROTS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CARROTS ," FRESH, RAW, CHOPPED, CARROT STICKS",,,,2w,3w,12m,18m,,,,,,,,
CARROTS ," FRESH, RAW, UNPEELED",,,,3w,4w,10m,12m,,,,,,,,
CASSAVA / YUCCA/ MANIOC ," FRESH, RAW",,,,2d,,,,,,,,,,,
CAULIFLOWER ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CAULIFLOWER ," FRESH, RAW",,,,7d,,12m,18m,,,,,,,,
CELERIAC / CELERY ROOT ," FRESH, COOKED",,,,3d,4d,10m,12m,,,,,,,,
CELERIAC / CELERY ROOT ," FRESH, RAW",,,,10d,14d,,,,,,,,,,
CELERY ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CELERY ," FRESH, RAW",,,,1w,2w,12m,18m,,,,,,,,
CELERY ," FRESH, RAW, CHOPPED, CUT",,,,1w,2w,12m,18m,,,,,,,,
CHAYOTE ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CHAYOTE ," FRESH, RAW",,,,3w,4w,10m,12m,,,,,,,,
CHICORY GREENS ," FRESH, RAW",,,,3d,5d,,,,,,,,,,
CHILI PEPPERS ," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
CHILI PEPPERS ," FRESH, RAW, WHOLE",,,,1w,,10m,12m,,,,,,,,
CHINESE CABBAGE ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CHINESE CABBAGE ," FRESH, RAW",,,,4d,5d,12m,18m,,,,,,,,
CHINESE LONG BEANS ," FRESH, COOKED",,,,3d,4d,10m,12m,,,,,,,,
CHINESE LONG BEANS ," FRESH, RAW",,,,3d,5d,10m,12m,,,,,,,,
"CHOPPED ONIONS / SLICED ONIONS (INCLUDING YELLOW, WHITE, RED, SPANISH, PEARL, VIDALIA VARIETIES) "," FRESH, RAW",,,,7d,10d,6m,8m,,,,,,,,
COLLARD GREENS (COLLARDS) ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
COLLARD GREENS (COLLARDS) ," FRESH, RAW",,,,4d,5d,10m,12m,,,,,,,,
CORN ON THE COB ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CORN ON THE COB ," FRESH, RAW",,,,1d,3d,8m,,,,,,,,,
CUCUMBER ," FRESH, RAW, SLICED OR CHOPPED",,,,1d,2d,,,,,,,,,,
CUCUMBER ," FRESH, RAW, WHOLE",,,,1w,,,,,,,,,,,
DANDELION GREENS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
DANDELION GREENS ," FRESH, RAW",,,,2d,3d,10m,12m,,,,,,,,
DOCK ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
EGGPLANT ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
EGGPLANT ," FRESH, RAW",,,,5d,7d,6m,8m,,,,,,,,
ENDIVE ," FRESH, RAW",,,,4d,5d,,,,,,,,,,
ESCAROLE ," FRESH, RAW",,,,3d,5d,,,,,,,,,,
"FENNEL, BULB "," FRESH, RAW",,,,7d,10d,10m,12m,,,,,,,,
FIDDLEHEAD FERNS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
FIDDLEHEAD FERNS ," FRESH, RAW",,,,2d,3d,,,,,,,,,,
FRISEE LETTUCE ," FRESH, RAW",,,,3d,5d,,,,,,,,,,
GARLIC ," FRESH, RAW, CHOPPED",,,,5d,7d,10m,12m,,,,,,,,
GARLIC ," FRESH, RAW, WHOLE BULB / HEAD",,3m,5m,,,10m,12m,,,,,,,,
GINGER ROOT ," FRESH, RAW",,,,4w,6w,2m,3m,,,,,,,,
GREEN BEANS / STRING BEANS / WAX BEANS ," FRESH, RAW",,,,3d,5d,12m,18m,,,,,,,,
GREEN ONIONS (SCALLIONS) ," FRESH, RAW",,,,7d,10d,10m,12m,,,,,,,,
GUERO PEPPERS ," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
GUERO PEPPERS ," FRESH, RAW, WHOLE",,,,1w,,10m,12m,,,,,,,,
HABANERO PEPPERS ," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
HABANERO PEPPERS ," FRESH, RAW, WHOLE",,,,1w,,10m,12m,,,,,,,,
HORSERADISH ROOT ," FRESH, RAW",,,,1m,2m,,,,,,,,,,
JALAPENO PEPPERS ," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
JALAPENO PEPPERS ," FRESH, RAW, WHOLE",,,,1w,,10m,12m,,,,,,,,
JERUSALEM ARTICHOKES (SUNCHOKES) ," FRESH, COOKED",,,,3d,5d,,,,,,,,,,
JERUSALEM ARTICHOKES (SUNCHOKES) ," FRESH, RAW",,,,7d,14d,,,,,,,,,,
JICAMA ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
JICAMA ," FRESH, RAW",,,,7d,14d,,,,,,,,,,
KALE ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
KALE ," FRESH, RAW, LOOSE",,,,5d,7d,10m,12m,,,,,,,,
KOHLRABI ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
KOHLRABI ," FRESH, RAW",,,,4d,5d,10m,12m,,,,,,,,
LEEKS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
LEEKS ," FRESH, RAW",,,,7d,14d,10m,12m,,,,,,,,
"LETTUCE, BIBB "," FRESH, RAW",,,,3d,4d,,,,,,,,,,
"LETTUCE, BOSTON "," FRESH, RAW",,,,3d,4d,,,,,,,,,,
"LETTUCE, BUTTER "," FRESH, RAW",,,,3d,4d,,,,,,,,,,
"LETTUCE, ICEBERG "," FRESH, RAW",,,,,,7d,10d,,,,,,,,
"LETTUCE, LEAF (RED OR GREEN) "," FRESH, RAW",,,,1w,,,,,,,,,,,
"LETTUCE, MACHE "," FRESH, RAW",,,,1d,2d,,,,,,,,,,
"LETTUCE, ROMAINE OR COS "," FRESH, RAW",,,,7d,10d,,,,,,,,,,
"MESCLUN GREENS , MESCLUN MIX "," FRESH, RAW",,,,2d,3d,,,,,,,,,,
"MUSHROOMS (INCLUDING WHITE, BUTTON, PORTABELLA, SHIITAKE, OYSTER, ENOKI VARIETIES) "," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
"MUSHROOMS (INCLUDING WHITE, BUTTON, PORTABELLA, SHIITAKE, OYSTER, ENOKI VARIETIES) "," FRESH, RAW, WHOLE",,,,4d,7d,10m,12m,,,,,,,,
MUSTARD GREENS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
MUSTARD GREENS ," FRESH, RAW",,,,2d,3d,10m,12m,,,,,,,,
"NOPALES (NOPALITOS, PRICKLY PEAR) "," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
"NOPALES (NOPALITOS, PRICKLY PEAR) "," FRESH, RAW",,,,7d,14d,,,,,,,,,,
OKRA ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
OKRA ," FRESH, RAW",,,,2d,3d,10m,12m,,,,,,,,
"ONIONS (INCLUDING YELLOW, WHITE, RED, SPANISH, PEARL, VIDALIA VARIETIES) "," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
"ONIONS, ALL VARIETIES EXCEPT SWEET (INCLUDING YELLOW, WHITE, PEARL) "," FRESH, RAW, WHOLE",,2m,3m,2m,3m,6m,8m,,,,,,,,
PARSNIPS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
PARSNIPS ," FRESH, RAW",,,,3w,4w,10m,12m,,,,,,,,
"PEAS, GREEN "," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
"PEAS, GREEN "," FRESH, RAW",,,,3d,5d,12m,18m,,,,,,,,
"PEPPERS, ALL VARIETIES (INCLUDING BELL PEPPERS) "," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
PIMIENTOS (PIMENTOS) ," FRESH, RAW",,,,1w,2w,10m,12m,,,,,,,,
POBLANO PEPPERS ," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
POBLANO PEPPERS ," FRESH, RAW, WHOLE",,,,7d,,10m,12m,,,,,,,,
POTATOES (ALL VARIETIES EXCEPT SWEET POTATOES AND YAMS) ," FRESH, COOKED (INCLUDING BAKED, MASHED, SCALLOPED, ROASTED)",,,,3d,5d,10m,12m,,,,,,,,
POTATOES (ALL VARIETIES EXCEPT SWEET POTATOES AND YAMS) ," FRESH, RAW",,1w,2w,3w,4w,10m,12m,,,,,,,,
PUMPKIN ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
PUMPKIN ," FRESH, RAW, CUT UP",,,,2d,4d,10m,12m,,,,,,,,
PUMPKIN ," FRESH, RAW, WHOLE",,1m,2m,,,10m,12m,,,,,,,,
RADICCHIO ," FRESH, RAW",,,,3d,5d,,,,,,,,,,
RADISHES ," FRESH, RAW",,,,10d,14d,,,,,,,,,,
RHUBARB ," FRESH, RAW",,,,5d,7d,10m,12m,,,,,,,,
RUTABAGAS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
RUTABAGAS ," FRESH, RAW",,,,3d,5d,10m,12m,,,,,,,,
SALSIFY (VEGETABLE OYSTER) ," FRESH, COOKED",,,,7d,14d,,,,,,,,,,
SALSIFY (VEGETABLE OYSTER) ," FRESH, RAW",,,,6m,,,,,,,,,,,
SAUERKRAUT ," FRESH, COMMERCIALLY PACKAGED, SOLD REFRIGERATED",,,,5d,7d,1m,2m,,,,,,,,
SERRANO PEPPERS ," FRESH, RAW, SLICED OR CHOPPED",,,,1d,2d,10m,12m,,,,,,,,
SERRANO PEPPERS ," FRESH, RAW, WHOLE",,,,7d,,10m,12m,,,,,,,,
SHALLOTS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
SHALLOTS ," FRESH, RAW, SLICED OR CHOPPED",,,,7d,10d,10m,12m,,,,,,,,
SHALLOTS ," FRESH, RAW, WHOLE",,1m,,1m,,10m,12m,,,,,,,,
"SLICED MUSHROOMS / CHOPPED MUSHROOMS (INCLUDING WHITE, BUTTON, PORTABELLA, SHIITAKE, OYSTER, ENOKI VARIETIES) "," FRESH, RAW",,,,4d,7d,10m,12m,,,,,,,,
SNOW PEAS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
SNOW PEAS ," FRESH, RAW",,,,3d,4d,10m,12m,,,,,,,,
SORREL ," FRESH, RAW",,,,1d,2d,10m,12m,,,,,,,,
SPINACH ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
SPINACH ," FRESH, RAW, LOOSE",,,,5d,7d,10m,12m,,,,,,,,
"SQUASH, SUMMER (INCLUDING ZUCCHINI, CROOKNECK, SCALLOP, PATTY PAN) "," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
"SQUASH, SUMMER (INCLUDING ZUCCHINI, CROOKNECK, SCALLOP, PATTY PAN) "," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
"SQUASH, WINTER (INCLUDING ACORN, HUBBARD, BUTTERNUT, SPAGHETTI) "," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
"SQUASH, WINTER (INCLUDING ACORN, HUBBARD, BUTTERNUT, SPAGHETTI) "," FRESH, RAW, SLICED OR CHOPPED",,,,2d,4d,10m,12m,,,,,,,,
"SQUASH, WINTER (INCLUDING ACORN, HUBBARD, BUTTERNUT, SPAGHETTI) "," FRESH, RAW, WHOLE",,1m,2m,,,10m,12m,,,,,,,,
SUGAR SNAP PEAS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
SUGAR SNAP PEAS ," FRESH, RAW",,,,3d,5d,10m,12m,,,,,,,,
"SUMMER SQUASH, (INCLUDING CROOKNECK, SCALLOP, PATTY PAN) "," FRESH, RAW, WHOLE",,,,4d,5d,10m,12m,,,,,,,,
"SWEET ONIONS (INCLUDING VIDALIA, MAUI VARIETIES) "," FRESH, RAW, WHOLE",,1m,2m,1m,2m,10m,12m,,,,,,,,
SWEET POTATOES ," FRESH, COOKED (INCLUDING BAKED, MASHED, CASSEROLES)",,,,3d,5d,10m,12m,,,,,,,,
SWEET POTATOES ," FRESH, RAW",,1w,2w,,,10m,12m,,,,,,,,
SWISS CHARD ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
SWISS CHARD ," FRESH, RAW",,,,2d,3d,10m,12m,,,,,,,,
TARO ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
TARO ," FRESH, RAW",,,,2d,3d,,,,,,,,,,
TOMATILLOS ," FRESH, RAW",,,,2w,3w,10m,12m,,,,,,,,
"TOMATOES (INCLUDING RED, YELLOW, GREEN, CHERRY, PLUM, ROMA) "," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
"TOMATOES (INCLUDING RED, YELLOW, GREEN, CHERRY, PLUM, ROMA) "," FRESH, RAW, SLICED OR CHOPPED",,,,3d,4d,2m,,,,,,,,,
"TOMATOES (INCLUDING RED, YELLOW, GREEN, CHERRY, PLUM, ROMA) "," FRESH, RAW, WHOLE",,1d,5d,5d,7d,2m,3m,,,,,,,,
TRUFFLES , FRESH,,,,2d,14d,6m,18m,,,,,,,,
TURNIP GREENS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
TURNIP GREENS ," FRESH, RAW",,,,2d,3d,10m,12m,,,,,,,,
TURNIPS ," FRESH, COOKED",,,,3d,5d,8m,10m,,,,,,,,
TURNIPS ," FRESH, RAW",,,,2w,3w,8m,10m,,,,,,,,
WATER CHESTNUTS ," FRESH, RAW",,,,7d,10d,,,,,,,,,,
WATERCRESS ," FRESH, RAW",,,,2d,3d,,,,,,,,,,
YAMS ," FRESH, COOKED (INCLUDING BAKED, MASHED, CASSEROLES)",,,,3d,5d,10m,12m,,,,,,,,
YAMS ," FRESH, RAW",,5d,7d,,,10m,12m,,,,,,,,
ZUCCHINI ," FRESH, RAW, WHOLE",,,,4d,5d,10m,12m,,,,,,,,